LeaveID,EmployeeLeave,TypeLeave,DayLeave,StartDateLeave,EndDateLeave
,ABC11990,Annual,1,"Friday, 29 October 2021","Friday, 29 October 2021"
,ABC11990,Annual,1,"Friday, 6 August 2021","Friday, 6 August 2021"
,ABC11990,Annual,1,"Thursday, 28 October 2021","Thursday, 28 October 2021"
,ABC11990,Annual,1,"Monday, 27 September 2021","Monday, 27 September 2021"
,ABC11990,Annual,1,"Thursday, 19 August 2021","Thursday, 19 August 2021"
,ABC11990,Annual,1,"Thursday, 6 May 2021","Thursday, 6 May 2021"
,ABC11990,Annual,1,"Tuesday, 23 March 2021","Tuesday, 23 March 2021"
,ABC11990,Annual,1,"Monday, 13 September 2021","Monday, 13 September 2021"
,ABC11990,Annual,1,"Monday, 29 November 2021","Monday, 29 November 2021"
,ABC11990,Annual,1,"Tuesday, 9 February 2021","Tuesday, 9 February 2021"
,ABC11990,Sick,5,"Monday, 20 December 2021","Friday, 24 December 2021"
,ABC11990,Sick,5,"Monday, 27 December 2021","Friday, 31 December 2021"
,ABC11990,Sick,4,"Monday, 2 August 2021","Thursday, 5 August 2021"
,ABC11990,Sick,5,"Wednesday, 15 September 2021","Tuesday, 21 September 2021"
,ABC11990,Public Holiday,1,"Wednesday, 17 February 2021","Wednesday, 17 February 2021"
,ABC11990,Public Holiday,1,"Friday, 2 July 2021","Friday, 2 July 2021"
,ABC11990,Public Holiday,1,"Monday, 5 July 2021","Monday, 5 July 2021"
,ABC11990,Public Holiday,1,"Wednesday, 1 December 2021","Wednesday, 1 December 2021"
,ABC11990,Public Holiday,1,"Thursday, 2 December 2021","Thursday, 2 December 2021"
,ABC11990,Public Holiday,1,"Friday, 3 December 2021","Friday, 3 December 2021"
,ABC11990,Public Holiday,1,"Monday, 6 December 2021","Monday, 6 December 2021"
,ABC11990,Public Holiday,1,"Tuesday, 7 December 2021","Tuesday, 7 December 2021"
,ABC11990,Public Holiday,1,"Wednesday, 8 December 2021","Wednesday, 8 December 2021"
,ABC11990,Public Holiday,1,"Thursday, 9 December 2021","Thursday, 9 December 2021"
,ABC11990,Unpaid,2,"Friday, 18 June 2021","Monday, 21 June 2021"
,ABC11990,Unpaid,3,"Monday, 19 April 2021","Wednesday, 21 April 2021"
,ABC11990,Unpaid,2,"Monday, 26 April 2021","Tuesday, 27 April 2021"
,ABC11990,Unpaid,2,"Tuesday, 9 November 2021","Wednesday, 10 November 2021"
,ABC21990,Annual,1,"Monday, 1 August 2022","Monday, 1 August 2022"
,ABC21990,Annual,1,"Monday, 25 April 2022","Monday, 25 April 2022"
,ABC21990,Annual,1,"Monday, 12 September 2022","Monday, 12 September 2022"
,ABC21990,Annual,1,"Friday, 11 November 2022","Friday, 11 November 2022"
,ABC21990,Annual,1,"Tuesday, 26 April 2022","Tuesday, 26 April 2022"
,ABC21990,Annual,1,"Friday, 21 October 2022","Friday, 21 October 2022"
,ABC21990,Annual,1,"Monday, 11 July 2022","Monday, 11 July 2022"
,ABC21990,Annual,1,"Wednesday, 14 December 2022","Wednesday, 14 December 2022"
,ABC21990,Annual,1,"Friday, 22 July 2022","Friday, 22 July 2022"
,ABC21990,Annual,1,"Wednesday, 6 July 2022","Wednesday, 6 July 2022"
,ABC21990,Annual,1,"Tuesday, 14 June 2022","Tuesday, 14 June 2022"
,ABC21990,Annual,1,"Thursday, 17 March 2022","Thursday, 17 March 2022"
,ABC21990,Sick,4,"Friday, 6 May 2022","Wednesday, 11 May 2022"
,ABC21990,Sick,4,"Friday, 28 October 2022","Wednesday, 2 November 2022"
,ABC21990,Sick,5,"Friday, 17 June 2022","Thursday, 23 June 2022"
,ABC21990,Sick,2,"Thursday, 1 September 2022","Friday, 2 September 2022"
,ABC21990,Sick,2,"Friday, 11 February 2022","Monday, 14 February 2022"
,ABC21990,Public Holiday,1,"Thursday, 17 February 2022","Thursday, 17 February 2022"
,ABC21990,Public Holiday,1,"Friday, 1 July 2022","Friday, 1 July 2022"
,ABC21990,Public Holiday,1,"Monday, 4 July 2022","Monday, 4 July 2022"
