EmployeeID,Annual_TimeSheet_hours,Annual_TimeSheet_Salary,PayRateStandard,Work_hours,Annual_Work_salary
ABC21990,2080,32240,15.5,2502.8000000000043,38793.39999999994
ABC31990,2069.59999999994,48635.600000001985,23.5,2509.7000000000053,58977.95000000001
ABC41990,2186.199999999846,60120.5,27.5,2732.7999999999925,75152
AJC11995,2068.399999999935,46539,22.5,2442.400000000002,54954
AJG21998,2109.599999999879,47466,22.5,2620.4999999999914,58961.25
AWA11992,2076.599999999991,44646.89999999814,21.5,2458.299999999999,52853.45000000004
BIS21998,1828.4000000000203,44795.80000000068,24.5,2198.300000000006,53858.350000000224
BSM11994,1779.8000000000748,43605.100000001155,24.5,2132.0000000000036,52234.000000000146
CMD11997,1797.5999999999672,29660.400000000533,16.5,2096.1000000000026,34585.64999999994
CPB21993,2025.4999999999327,43548.25000000141,21.5,2452.799999999995,52735.20000000009
DHC11990,1797.3999999999855,44036.29999999954,24.5,2147.2000000000016,52606.39999999997
FJT11985,1786.9999999999782,29485.500000000342,16.5,2070.500000000001,34163.249999999985
HBR31995,2075.9999999999945,50861.999999999825,24.5,2429.699999999998,59527.65000000004
HBR41995,1048,28820,27.5,1162.4,31966
JDB21980,2043.1999999999543,41885.60000000106,20.5,2394.499999999998,49087.25000000003
KMM21997,1213.9999999999782,18816.99999999996,15.5,1457.1999999999978,22586.600000000006
MMP21986,2058.1999999999407,33960.300000000956,16.5,2366.399999999999,39045.6
MNO11986,1200,24600,20.5,1382.1999999999982,28335.099999999995
