EmployeeLeave,StartDateLeave,EndDateLeave,date_work,WorkHours,TimeSheetTransactionID,Check_DATA
ABC11990,2021-01-22,2021-01-22,2021-01-22,1.1,ABC11990-P2C-144218,TRUE
ABC11990,2021-01-22,2021-01-22,2021-01-22,1.2,ABC11990-P2C-244218,TRUE
ABC11990,2021-01-22,2021-01-22,2021-01-22,3,ABC11990-P3A-144218,TRUE
ABC11990,2021-01-22,2021-01-22,2021-01-22,3.5,ABC11990-P3A-244218,TRUE
ABC11990,2021-02-03,2021-02-03,2021-02-03,1.8,ABC11990-P2C-144230,TRUE
ABC11990,2021-02-03,2021-02-03,2021-02-03,0.9,ABC11990-P2C-244230,TRUE
ABC11990,2021-02-03,2021-02-03,2021-02-03,1.7,ABC11990-P3A-144230,TRUE
ABC11990,2021-02-03,2021-02-03,2021-02-03,1.6,ABC11990-P3A-244230,TRUE
ABC11990,2021-02-11,2021-02-11,2021-02-11,2.1,ABC11990-P2C-144238,TRUE
ABC11990,2021-02-11,2021-02-11,2021-02-11,2.6,ABC11990-P2C-244238,TRUE
ABC11990,2021-02-11,2021-02-11,2021-02-11,3.1,ABC11990-P3A-144238,TRUE
ABC11990,2021-02-11,2021-02-11,2021-02-11,2.9,ABC11990-P3A-244238,TRUE
ABC11990,2021-02-12,2021-02-12,2021-02-12,0.9,ABC11990-P2C-144239,TRUE
ABC11990,2021-02-12,2021-02-12,2021-02-12,2.9,ABC11990-P2C-244239,TRUE
ABC11990,2021-02-12,2021-02-12,2021-02-12,3.1,ABC11990-P3A-144239,TRUE
ABC11990,2021-02-12,2021-02-12,2021-02-12,3.5,ABC11990-P3A-244239,TRUE
ABC11990,2021-02-15,2021-02-15,2021-02-15,2.6,ABC11990-P2C-144242,TRUE
ABC11990,2021-02-15,2021-02-15,2021-02-15,3.3,ABC11990-P2C-244242,TRUE
ABC11990,2021-02-15,2021-02-15,2021-02-15,3.2,ABC11990-P3A-144242,TRUE
ABC11990,2021-02-15,2021-02-15,2021-02-15,3,ABC11990-P3A-244242,TRUE
ABC11990,2021-02-23,2021-02-23,2021-02-23,2,ABC11990-P2C-144250,TRUE
ABC11990,2021-02-23,2021-02-23,2021-02-23,3.7,ABC11990-P2C-244250,TRUE
ABC11990,2021-02-23,2021-02-23,2021-02-23,1.1,ABC11990-P3A-144250,TRUE
ABC11990,2021-02-23,2021-02-23,2021-02-23,3.8,ABC11990-P3A-244250,TRUE
ABC11990,2021-03-02,2021-03-02,2021-03-02,1.3,ABC11990-P2C-144257,TRUE
ABC11990,2021-03-02,2021-03-02,2021-03-02,3,ABC11990-P2C-244257,TRUE
ABC11990,2021-03-02,2021-03-02,2021-03-02,3.2,ABC11990-P3A-144257,TRUE
ABC11990,2021-03-02,2021-03-02,2021-03-02,0.9,ABC11990-P3A-244257,TRUE
ABC11990,2021-04-28,2021-04-28,2021-04-28,2,ABC11990-P2C-144314,TRUE
ABC11990,2021-04-28,2021-04-28,2021-04-28,2.5,ABC11990-P2C-244314,TRUE
ABC11990,2021-04-28,2021-04-28,2021-04-28,3.5,ABC11990-P3B-144314,TRUE
ABC11990,2021-04-28,2021-04-28,2021-04-28,2.6,ABC11990-P3B-244314,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-03,0.8,ABC11990-P2C-144319,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-03,1.6,ABC11990-P2C-244319,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-03,3.9,ABC11990-P3B-144319,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-03,1,ABC11990-P3B-244319,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-04,1,ABC11990-P2C-144320,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-04,2.1,ABC11990-P2C-244320,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-04,2.5,ABC11990-P3B-144320,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-04,3.2,ABC11990-P3B-244320,TRUE
ABC11990,2021-05-05,2021-05-05,2021-05-05,3.5,ABC11990-P2C-144321,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-05,3.5,ABC11990-P2C-144321,TRUE
ABC11990,2021-05-05,2021-05-05,2021-05-05,2.1,ABC11990-P2C-244321,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-05,2.1,ABC11990-P2C-244321,TRUE
ABC11990,2021-05-05,2021-05-05,2021-05-05,3.4,ABC11990-P3B-144321,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-05,3.4,ABC11990-P3B-144321,TRUE
ABC11990,2021-05-05,2021-05-05,2021-05-05,2.7,ABC11990-P3B-244321,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-05,2.7,ABC11990-P3B-244321,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-06,1.4,ABC11990-P2C-144322,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-06,3.3,ABC11990-P2C-244322,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-06,2.2,ABC11990-P3B-144322,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-06,0.8,ABC11990-P3B-244322,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-07,2.1,ABC11990-P2C-144323,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-07,3.1,ABC11990-P2C-244323,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-07,2.1,ABC11990-P3B-144323,TRUE
ABC11990,2021-05-03,2021-05-07,2021-05-07,2.9,ABC11990-P3B-244323,TRUE
ABC11990,2021-05-14,2021-05-14,2021-05-14,3.5,ABC11990-P2C-144330,TRUE
ABC11990,2021-05-14,2021-05-14,2021-05-14,2.5,ABC11990-P2C-244330,TRUE
ABC11990,2021-05-14,2021-05-14,2021-05-14,2.4,ABC11990-P3B-144330,TRUE
ABC11990,2021-05-14,2021-05-14,2021-05-14,3,ABC11990-P3B-244330,TRUE
ABC11990,2021-06-01,2021-06-01,2021-06-01,1.3,ABC11990-P2C-144348,TRUE
ABC11990,2021-06-01,2021-06-01,2021-06-01,2.3,ABC11990-P2C-244348,TRUE
ABC11990,2021-06-01,2021-06-01,2021-06-01,3.3,ABC11990-P3C-144348,TRUE
